Model,AUC,Accuracy
GradientBoosting,58.514872169244725,81.54912280701755
LightBGM,59.78299532726376,81.60394736842105
CatBoost,58.944996513892846,81.58640350877194
XGBoost,59.421795193076775,81.61447368421054
随机森林,53.71567125775366,80.93289473684212
AdaBoost,50.0,80.16491228070176
神经网络,59.90424574510769,81.56622807017544
逻辑回归,55.409433178543296,80.70964912280701
决策树,59.43011069622255,73.23947368421052
KNN,58.55341643804377,78.46929824561404
朴素贝叶斯,56.63227670233071,31.096929824561403
SVM,50.0,80.16490936279297
